시도명,시군구명,자치단체코드,과세년도,세목명,과세건수,과세금액,비과세건수,비과세금액,데이터 기준일
세종특별자치시,세종특별자치시,36110,2019,교육세,725668 ,48204664000 ,48 ,5000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,취득세,61473 ,295900500000 ,9268 ,36085796000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,등록세,0 ,0 ,6 ,2282000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,주민세,129976 ,8377157000 ,10007 ,246044000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,재산세,214768 ,79517055000 ,75509 ,57597747000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,자동차세,214350 ,45674231000 ,15418 ,991952000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,담배소비세,86 ,17369065000 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,지방소비세,8 ,76880407000 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,등록면허세,106694 ,12933156000 ,6103 ,473863000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,지역자원시설세,182825 ,10833784000 ,4188 ,1838294000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,지방소득세,85863 ,80558003000 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2018,교육세,673490 ,50820553000 ,25 ,1000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,취득세,60757 ,335693486000 ,8179 ,41742150000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,등록세,0 ,0 ,14 ,5685000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,주민세,112442 ,7760161000 ,6180 ,224572000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,재산세,182281 ,67251851000 ,59864 ,55517954000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,자동차세,187434 ,38681962000 ,11139 ,900638000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,레저세,0 ,0 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,담배소비세,107 ,15146026000 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,지방소비세,8 ,62449825000 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,등록면허세,104475 ,13509452000 ,5152 ,592678000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,도시계획세,0 ,0 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,지역자원시설세,156778 ,8749103000 ,3513 ,1743970000 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,지방소득세,73571 ,73086621000 ,0 ,0 ,2022-12-31
세종특별자치시,세종특별자치시,36110,2017,교육세,602815 ,51005484000 ,8 ,0 ,2022-12-31
